"","Cell.line","baseline","treatment"
"1","11007",25.8309972,24.62955547
"2","11007",29.43532239,25.8309972
"3","11007",27.63315979,24.0288346
"4","11007",27.03243893,24.62955547
"5","11007",27.63315979,25.8309972
"6","11007",26.43171806,26.43171806
"7","11007",27.03243893,25.23027633
"8","11007",28.83460152,26.43171806
"9","11007",26.43171806,25.23027633
"10","11007",27.03243893,24.0288346
"11","11007",26.43171806,24.62955547
"12","11007",25.8309972,24.62955547
"13","11007",29.43532239,25.23027633
"14","11007",27.03243893,24.62955547
"15","11007",30.03604325,25.8309972
"16","11007",26.43171806,24.0288346
"17","11007",27.03243893,24.0288346
"18","11007",26.43171806,24.0288346
"19","11007",0,0
"20","11007",0,0
"21","11007",0,0
"22","11007",0,0
"23","11007",0,0
"24","11007",0,0
"25","11007",0,0
"26","11007",0,0
"27","11007",0,0
"28","11007",0,0
"29","11007",0,0
"30","11007",0,0
"31","11007",0,0
"32","11007",0,0
"33","11007",0,0
"34","11007",0,0
"35","11007",0,0
"36","11007",0,0
"37","11007",0,0
"38","11007",0,0
"39","11007",0,0
"40","11007",0,0
"41","11007",0,0
"42","11007",0,0
"43","11007",0,0
"44","11007",0,0
"45","11007",0,0
"46","11007",0,0
"47","11007",0,0
"48","11007",0,0
"49","11007",0,0
"50","11007",0,0
"51","11007",0,0
"52","11007",0,0
"53","11007",0,0
"54","11007",0,0
"55","11007",0,0
"56","11007",0,0
"57","11007",0,0
"58","11007",0,0
"59","11007",0,0
"60","11007",0,0
"61","11007",0,0
"62","11007",0,0
"63","11007",0,0
"64","11007",0,0
"65","11007",0,0
"66","11007",0,0
"67","11007",0,0
"68","11007",0,0
"69","11007",0,0
"70","11007",0,0
"71","11007",0,0
"72","11007",0,0
"73","11007",0,0
"74","11007",0,0
"75","11007",0,0
"76","11007",0,0
"77","11007",0,0
"78","11007",0,0
"79","11007",0,0
"80","11007",0,0
"81","11007",0,0
"82","11007",0,0
"83","11007",0,0
"84","11007",0,0
"85","11007",0,0
"86","11007",0,0
"87","11007",0,0
"88","11007",0,0
"89","11007",0,0
"90","11007",0,0
"91","11007",0,0
"92","11007",0,0
"93","11007",0,0
"94","11007",0,0
"95","11007",26.43171806,25.23027633
"96","11007",27.03243893,24.0288346
"97","11007",28.83460152,26.43171806
"98","11007",28.23388066,25.8309972
"99","11007",30.03604325,28.83460152
"100","11007",27.63315979,26.43171806
"101","11007",27.63315979,27.03243893
"102","11007",28.23388066,25.8309972
"103","11007",26.43171806,24.0288346
"104","11007",27.03243893,26.43171806
"105","11007",26.43171806,25.8309972
"106","11007",27.03243893,26.43171806
"107","11007",29.43532239,25.8309972
"108","11007",27.63315979,25.23027633
"109","11007",27.03243893,25.23027633
"110","11007",27.63315979,25.23027633
"111","11007",28.23388066,25.8309972
"112","11007",25.8309972,25.23027633
"113","11007",0,0
"114","11007",0,0
"115","11007",0,0
"116","11007",0,0
"117","11007",0,0
"118","11007",0,0
"119","11007",0,0
"120","11007",0,0
"121","11007",0,0
"122","11007",0,0
"123","11007",0,0
"124","11007",0,0
"125","11007",0,0
"126","11007",0,0
"127","11007",0,0
"128","11007",0,0
"129","11007",0,0
"130","11007",0,0
"131","11007",0,0
"132","11007",0,0
"133","11007",0,0
"134","11007",0,0
"135","11007",0,0
"136","11007",0,0
"137","11007",0,0
"138","11007",0,0
"139","11007",0,0
"140","11007",0,0
"141","11007",0,0
"142","11007",0,0
"143","11007",0,0
"144","11007",0,0
"145","11007",0,0
"146","11007",0,0
"147","11007",0,0
"148","11007",0,0
"149","11007",0,0
"150","11007",0,0
"151","11007",0,0
"152","11007",0,0
"153","11007",0,0
"154","11007",0,0
"155","11007",0,0
"156","11007",0,0
"157","11007",0,0
"158","11007",0,0
"159","11007",0,0
"160","11007",0,0
"161","11007",0,0
"162","11007",0,0
"163","11007",0,0
"164","11007",0,0
"165","11007",0,0
"166","11007",0,0
"167","11007",0,0
"168","11007",0,0
"169","11007",0,0
"170","11007",0,0
"171","11007",0,0
"172","11007",0,0
"173","11007",0,0
"174","11007",0,0
"175","11007",0,0
"176","11007",0,0
"177","11007",0,0
"178","11007",0,0
"179","11007",0,0
"180","11007",0,0
"181","11007",0,0
"182","11007",0,0
"183","11007",0,0
"184","11007",0,0
"185","11007",0,0
"186","11007",0,0
"187","11007",0,0
"188","11007",0,0
"189","11235",14.41730076,11.03581801
"190","11235",10.81297557,10.45498548
"191","11235",13.21585903,8.712487899
"192","11235",9.611533841,14.52081317
"193","11235",9.611533841,10.45498548
"194","11235",10.21225471,11.03581801
"195","11235",9.010812976,11.61665053
"196","11235",9.611533841,9.874152953
"197","11235",9.611533841,10.45498548
"198","11235",12.0144173,9.293320426
"199","11235",14.41730076,10.45498548
"200","11235",8.410092111,10.45498548
"201","11235",12.61513817,11.03581801
"202","11235",9.010812976,13.35914811
"203","11235",11.41369644,11.03581801
"204","11235",9.010812976,13.93998064
"205","11235",12.0144173,11.03581801
"206","11235",8.410092111,11.61665053
"207","11235",0,0
"208","11235",0,0
"209","11235",0,0
"210","11235",0,0
"211","11235",0,0
"212","11235",0,0
"213","11235",0,0
"214","11235",0,0
"215","11235",0,0
"216","11235",0,0
"217","11235",0,0
"218","11235",0,0
"219","11235",0,0
"220","11235",0,0
"221","11235",0,0
"222","11235",0,0
"223","11235",0,0
"224","11235",0,0
"225","11235",0,0
"226","11235",0,0
"227","11235",0,0
"228","11235",0,0
"229","11235",0,0
"230","11235",0,0
"231","11235",0,0
"232","11235",0,0
"233","11235",0,0
"234","11235",0,0
"235","11235",0,0
"236","11235",0,0
"237","11235",0,0
"238","11235",0,0
"239","11235",0,0
"240","11235",0,0
"241","11235",0,0
"242","11235",0,0
"243","11235",0,0
"244","11235",0,0
"245","11235",0,0
"246","11235",0,0
"247","11235",0,0
"248","11235",0,0
"249","11235",0,0
"250","11235",0,0
"251","11235",0,0
"252","11235",0,0
"253","11235",0,0
"254","11235",0,0
"255","11235",0,0
"256","11235",0,0
"257","11235",0,0
"258","11235",0,0
"259","11235",0,0
"260","11235",0,0
"261","11235",0,0
"262","11235",0,0
"263","11235",0,0
"264","11235",0,0
"265","11235",0,0
"266","11235",0,0
"267","11235",0,0
"268","11235",0,0
"269","11235",0,0
"270","11235",0,0
"271","11235",0,0
"272","11235",0,0
"273","11235",0,0
"274","11235",0,0
"275","11235",0,0
"276","11235",0,0
"277","11235",0,0
"278","11235",0,0
"279","11235",0,0
"280","11235",0,0
"281","11235",0,0
"282","11235",0,0
"283","11235",13.21585903,11.65803109
"284","11235",12.0144173,10.54774241
"285","11235",15.01802163,11.10288675
"286","11235",13.8165799,8.8823094
"287","11235",12.0144173,11.10288675
"288","11235",12.0144173,9.437453738
"289","11235",13.21585903,8.8823094
"290","11235",12.0144173,9.437453738
"291","11235",12.61513817,10.54774241
"292","11235",12.61513817,10.54774241
"293","11235",12.0144173,9.992598075
"294","11235",9.611533841,10.54774241
"295","11235",10.81297557,13.3234641
"296","11235",14.41730076,9.437453738
"297","11235",15.01802163,11.10288675
"298","11235",13.8165799,10.54774241
"299","11235",13.21585903,11.65803109
"300","11235",13.8165799,9.437453738
"301","11235",0,0
"302","11235",0,0
"303","11235",0,0
"304","11235",0,0
"305","11235",0,0
"306","11235",0,0
"307","11235",0,0
"308","11235",0,0
"309","11235",0,0
"310","11235",0,0
"311","11235",0,0
"312","11235",0,0
"313","11235",0,0
"314","11235",0,0
"315","11235",0,0
"316","11235",0,0
"317","11235",0,0
"318","11235",0,0
"319","11235",0,0
"320","11235",0,0
"321","11235",0,0
"322","11235",0,0
"323","11235",0,0
"324","11235",0,0
"325","11235",0,0
"326","11235",0,0
"327","11235",0,0
"328","11235",0,0
"329","11235",0,0
"330","11235",0,0
"331","11235",0,0
"332","11235",0,0
"333","11235",0,0
"334","11235",0,0
"335","11235",0,0
"336","11235",0,0
"337","11235",0,0
"338","11235",0,0
"339","11235",0,0
"340","11235",0,0
"341","11235",0,0
"342","11235",0,0
"343","11235",0,0
"344","11235",0,0
"345","11235",0,0
"346","11235",0,0
"347","11235",0,0
"348","11235",0,0
"349","11235",0,0
"350","11235",0,0
"351","11235",0,0
"352","11235",0,0
"353","11235",0,0
"354","11235",0,0
"355","11235",0,0
"356","11235",0,0
"357","11235",0,0
"358","11235",0,0
"359","11235",0,0
"360","11235",0,0
"361","11235",0,0
"362","11235",0,0
"363","11235",0,0
"364","11235",0,0
"365","11235",0,0
"366","11235",0,0
"367","11235",0,0
"368","11235",0,0
