"","Cell.line","baseline","treatment"
"1","11007",1.773556519,1.877233459
"2","11007",1.745770604,1.880330147
"3","11007",1.650734739,1.789082504
"4","11007",1.743317212,1.791268085
"5","11007",1.731464531,1.918729697
"6","11007",1.668646062,1.790380835
"7","11007",1.67670618,1.822198063
"8","11007",1.635031413,1.909892021
"9","11007",1.672169275,1.931401477
"10","11007",1.704818713,1.900106686
"11","11007",1.81551791,1.843232835
"12","11007",1.671064871,1.902704784
"13","11007",1.711789125,1.853398361
"14","11007",1.696919867,1.923880235
"15","11007",1.696661735,1.934091766
"16","11007",1.708068667,1.89052276
"17","11007",1.708343923,1.924136558
"18","11007",1.730042674,1.945153627
"19","11007",NA,NA
"20","11007",NA,NA
"21","11007",NA,NA
"22","11007",NA,NA
"23","11007",NA,NA
"24","11007",NA,NA
"25","11007",NA,NA
"26","11007",NA,NA
"27","11007",NA,NA
"28","11007",NA,NA
"29","11007",NA,NA
"30","11007",NA,NA
"31","11007",NA,NA
"32","11007",NA,NA
"33","11007",NA,NA
"34","11007",NA,NA
"35","11007",NA,NA
"36","11007",NA,NA
"37","11007",NA,NA
"38","11007",NA,NA
"39","11007",NA,NA
"40","11007",NA,NA
"41","11007",NA,NA
"42","11007",NA,NA
"43","11007",NA,NA
"44","11007",NA,NA
"45","11007",NA,NA
"46","11007",NA,NA
"47","11007",NA,NA
"48","11007",NA,NA
"49","11007",NA,NA
"50","11007",NA,NA
"51","11007",NA,NA
"52","11007",NA,NA
"53","11007",NA,NA
"54","11007",NA,NA
"55","11007",NA,NA
"56","11007",NA,NA
"57","11007",NA,NA
"58","11007",NA,NA
"59","11007",NA,NA
"60","11007",NA,NA
"61","11007",NA,NA
"62","11007",NA,NA
"63","11007",NA,NA
"64","11007",NA,NA
"65","11007",NA,NA
"66","11007",NA,NA
"67","11007",NA,NA
"68","11007",NA,NA
"69","11007",NA,NA
"70","11007",NA,NA
"71","11007",NA,NA
"72","11007",NA,NA
"73","11007",NA,NA
"74","11007",NA,NA
"75","11007",NA,NA
"76","11007",NA,NA
"77","11007",NA,NA
"78","11007",NA,NA
"79","11007",NA,NA
"80","11007",NA,NA
"81","11007",NA,NA
"82","11007",NA,NA
"83","11007",NA,NA
"84","11007",NA,NA
"85","11007",NA,NA
"86","11007",NA,NA
"87","11007",NA,NA
"88","11007",NA,NA
"89","11007",NA,NA
"90","11007",NA,NA
"91","11007",NA,NA
"92","11007",NA,NA
"93","11007",NA,NA
"94","11007",NA,NA
"95","11007",1.728463727,1.84868204
"96","11007",1.730066698,1.860390331
"97","11007",1.826634068,1.951806387
"98","11007",1.807217699,1.851703568
"99","11007",1.694774964,1.858552633
"100","11007",1.730087204,1.859035526
"101","11007",1.787145773,1.797538171
"102","11007",1.764039224,1.800565367
"103","11007",1.79564658,1.878838099
"104","11007",1.658632527,1.765184733
"105","11007",1.777619941,1.756070994
"106","11007",1.747538486,1.994414761
"107","11007",1.729802305,1.896840103
"108","11007",1.729834251,1.952453355
"109","11007",1.658219693,1.860020705
"110","11007",1.715475292,1.857774152
"111","11007",1.738742169,1.897997275
"112","11007",1.634210857,1.916399023
"113","11007",NA,NA
"114","11007",NA,NA
"115","11007",NA,NA
"116","11007",NA,NA
"117","11007",NA,NA
"118","11007",NA,NA
"119","11007",NA,NA
"120","11007",NA,NA
"121","11007",NA,NA
"122","11007",NA,NA
"123","11007",NA,NA
"124","11007",NA,NA
"125","11007",NA,NA
"126","11007",NA,NA
"127","11007",NA,NA
"128","11007",NA,NA
"129","11007",NA,NA
"130","11007",NA,NA
"131","11007",NA,NA
"132","11007",NA,NA
"133","11007",NA,NA
"134","11007",NA,NA
"135","11007",NA,NA
