"","Cell.line","baseline","treatment"
"1","11007",3021.590634,3471.621355
"2","11007",2886.779983,3289.971647
"3","11007",3137.344848,3867.647847
"4","11007",2856.964471,3290.30872
"5","11007",2478.120522,2794.311883
"6","11007",2817.291096,3205.756582
"7","11007",2922.715068,3352.041422
"8","11007",2633.708496,3104.463263
"9","11007",2483.02544,2908.719178
"10","11007",2578.541596,3016.535665
"11","11007",2623.481898,3081.993604
"12","11007",2826.771902,3241.798148
"13","11007",2193.534247,2761.712655
"14","11007",2722.034616,3226.79495
"15","11007",2690.420822,3423.530242
"16","11007",2773.815558,3743.328376
"17","11007",2565.507154,3131.301566
"18","11007",2443.580101,2918.088258
"19","11007",0,0
"20","11007",0,0
"21","11007",0,0
"22","11007",0,0
"23","11007",0,0
"24","11007",0,0
"25","11007",0,0
"26","11007",0,0
"27","11007",0,0
"28","11007",0,0
"29","11007",0,0
"30","11007",0,0
"31","11007",0,0
"32","11007",0,0
"33","11007",0,0
"34","11007",0,0
"35","11007",0,0
"36","11007",0,0
"37","11007",0,0
"38","11007",0,0
"39","11007",0,0
"40","11007",0,0
"41","11007",0,0
"42","11007",0,0
"43","11007",0,0
"44","11007",0,0
"45","11007",0,0
"46","11007",0,0
"47","11007",0,0
"48","11007",0,0
"49","11007",0,0
"50","11007",0,0
"51","11007",0,0
"52","11007",0,0
"53","11007",0,0
"54","11007",0,0
"55","11007",0,0
"56","11007",0,0
"57","11007",0,0
"58","11007",0,0
"59","11007",0,0
"60","11007",0,0
"61","11007",0,0
"62","11007",0,0
"63","11007",0,0
"64","11007",0,0
"65","11007",0,0
"66","11007",0,0
"67","11007",0,0
"68","11007",0,0
"69","11007",0,0
"70","11007",0,0
"71","11007",0,0
"72","11007",0,0
"73","11007",0,0
"74","11007",0,0
"75","11007",0,0
"76","11007",0,0
"77","11007",0,0
"78","11007",0,0
"79","11007",0,0
"80","11007",0,0
"81","11007",0,0
"82","11007",0,0
"83","11007",0,0
"84","11007",0,0
"85","11007",0,0
"86","11007",0,0
"87","11007",0,0
"88","11007",0,0
"89","11007",0,0
"90","11007",0,0
"91","11007",0,0
"92","11007",0,0
"93","11007",0,0
"94","11007",0,0
"95","11007",2858.226695,3216.169602
"96","11007",2967.617047,3384.817172
"97","11007",2725.203726,3075.62858
"98","11007",3033.443269,3457.743276
"99","11007",2802.109472,3115.786081
"100","11007",2602.384498,2904.604608
"101","11007",2863.179273,3211.25923
"102","11007",2574.638839,2907.458745
"103","11007",2593.291096,2972.868836
"104","11007",2520.543422,2937.290962
"105","11007",2428.188401,2754.942065
"106","11007",2065.129506,2416.113547
"107","11007",2616.047805,3104.240841
"108","11007",2241.426742,2743.741683
"109","11007",2858.295499,3330.510437
"110","11007",2660.558964,3305.312459
"111","11007",2497.478494,3053.852819
"112","11007",2696.043371,3345.522179
"113","11007",0,0
"114","11007",0,0
"115","11007",0,0
"116","11007",0,0
"117","11007",0,0
"118","11007",0,0
"119","11007",0,0
"120","11007",0,0
"121","11007",0,0
"122","11007",0,0
"123","11007",0,0
"124","11007",0,0
"125","11007",0,0
"126","11007",0,0
"127","11007",0,0
"128","11007",0,0
"129","11007",0,0
"130","11007",0,0
"131","11007",0,0
"132","11007",0,0
"133","11007",0,0
"134","11007",0,0
"135","11007",0,0
"136","11007",0,0
"137","11007",0,0
"138","11007",0,0
"139","11007",0,0
"140","11007",0,0
"141","11007",0,0
"142","11007",0,0
"143","11007",0,0
"144","11007",0,0
"145","11007",0,0
"146","11007",0,0
"147","11007",0,0
"148","11007",0,0
"149","11007",0,0
"150","11007",0,0
"151","11007",0,0
"152","11007",0,0
"153","11007",0,0
"154","11007",0,0
"155","11007",0,0
"156","11007",0,0
"157","11007",0,0
"158","11007",0,0
"159","11007",0,0
"160","11007",0,0
"161","11007",0,0
"162","11007",0,0
"163","11007",0,0
"164","11007",0,0
"165","11007",0,0
"166","11007",0,0
"167","11007",0,0
"168","11007",0,0
"169","11007",0,0
"170","11007",0,0
"171","11007",0,0
"172","11007",0,0
"173","11007",0,0
"174","11007",0,0
"175","11007",0,0
"176","11007",0,0
"177","11007",0,0
"178","11007",0,0
"179","11007",0,0
"180","11007",0,0
"181","11007",0,0
"182","11007",0,0
"183","11007",0,0
"184","11007",0,0
"185","11007",0,0
"186","11007",0,0
"187","11007",0,0
"188","11007",0,0
"189","11235",5106.485975,4503.962921
"190","11235",4219.114699,3982.597304
"191","11235",5234.746931,4403.502935
"192","11235",5243.649462,3991.489706
"193","11235",4073.186644,3730.53055
"194","11235",3655.105675,3361.804408
"195","11235",4370.255316,3755.594129
"196","11235",4283.797945,3565.537815
"197","11235",4644.001957,3843.512285
"198","11235",4166.506164,3447.961228
"199","11235",4391.141308,3501.652859
"200","11235",4456.184932,4315.868993
"201","11235",4287.84214,3316.300855
"202","11235",4488.803262,3563.751893
"203","11235",4422.41889,3281.101349
"204","11235",4688.760861,3670.398483
"205","11235",4267.289726,3520.338449
"206","11235",4734.629159,3718.486204
"207","11235",0,0
"208","11235",0,0
"209","11235",0,0
"210","11235",0,0
"211","11235",0,0
"212","11235",0,0
"213","11235",0,0
"214","11235",0,0
"215","11235",0,0
"216","11235",0,0
"217","11235",0,0
"218","11235",0,0
"219","11235",0,0
"220","11235",0,0
"221","11235",0,0
"222","11235",0,0
"223","11235",0,0
"224","11235",0,0
"225","11235",0,0
"226","11235",0,0
"227","11235",0,0
"228","11235",0,0
"229","11235",0,0
"230","11235",0,0
"231","11235",0,0
"232","11235",0,0
"233","11235",0,0
"234","11235",0,0
"235","11235",0,0
"236","11235",0,0
"237","11235",0,0
"238","11235",0,0
"239","11235",0,0
"240","11235",0,0
"241","11235",0,0
"242","11235",0,0
"243","11235",0,0
"244","11235",0,0
"245","11235",0,0
"246","11235",0,0
"247","11235",0,0
"248","11235",0,0
"249","11235",0,0
"250","11235",0,0
"251","11235",0,0
"252","11235",0,0
"253","11235",0,0
"254","11235",0,0
"255","11235",0,0
"256","11235",0,0
"257","11235",0,0
"258","11235",0,0
"259","11235",0,0
"260","11235",0,0
"261","11235",0,0
"262","11235",0,0
"263","11235",0,0
"264","11235",0,0
"265","11235",0,0
"266","11235",0,0
"267","11235",0,0
"268","11235",0,0
"269","11235",0,0
"270","11235",0,0
"271","11235",0,0
"272","11235",0,0
"273","11235",0,0
"274","11235",0,0
"275","11235",0,0
"276","11235",0,0
"277","11235",0,0
"278","11235",0,0
"279","11235",0,0
"280","11235",0,0
"281","11235",0,0
"282","11235",0,0
"283","11235",4525.408646,4763.382257
"284","11235",3852.859687,4395.812648
"285","11235",4817.415421,4400.065264
"286","11235",4301.521484,4426.000856
"287","11235",4107.215166,3924.17456
"288","11235",3450.452055,3613.065846
"289","11235",4178.234567,3918.02752
"290","11235",3673.996673,3738.705767
"291","11235",3678.480104,4814.132866
"292","11235",3343.526419,4426.049233
"293","11235",3424.891879,4589.493912
"294","11235",4165.418664,4758.074673
"295","11235",3419.373233,3424.852169
"296","11235",4122.22562,3690.338091
"297","11235",3844.521879,3394.513894
"298","11235",4350.057772,3951.263055
"299","11235",3621.026864,3723.748858
"300","11235",4450.169744,4007.687924
"301","11235",0,0
"302","11235",0,0
"303","11235",0,0
"304","11235",0,0
"305","11235",0,0
"306","11235",0,0
"307","11235",0,0
"308","11235",0,0
"309","11235",0,0
"310","11235",0,0
"311","11235",0,0
"312","11235",0,0
"313","11235",0,0
"314","11235",0,0
"315","11235",0,0
"316","11235",0,0
"317","11235",0,0
"318","11235",0,0
"319","11235",0,0
"320","11235",0,0
"321","11235",0,0
"322","11235",0,0
"323","11235",0,0
"324","11235",0,0
"325","11235",0,0
"326","11235",0,0
"327","11235",0,0
"328","11235",0,0
"329","11235",0,0
"330","11235",0,0
"331","11235",0,0
"332","11235",0,0
"333","11235",0,0
"334","11235",0,0
"335","11235",0,0
"336","11235",0,0
"337","11235",0,0
"338","11235",0,0
"339","11235",0,0
"340","11235",0,0
"341","11235",0,0
"342","11235",0,0
"343","11235",0,0
"344","11235",0,0
"345","11235",0,0
"346","11235",0,0
"347","11235",0,0
"348","11235",0,0
"349","11235",0,0
"350","11235",0,0
"351","11235",0,0
"352","11235",0,0
"353","11235",0,0
"354","11235",0,0
"355","11235",0,0
"356","11235",0,0
"357","11235",0,0
"358","11235",0,0
"359","11235",0,0
"360","11235",0,0
"361","11235",0,0
"362","11235",0,0
"363","11235",0,0
"364","11235",0,0
"365","11235",0,0
"366","11235",0,0
"367","11235",0,0
"368","11235",0,0
"369","11235",0,0
"370","11235",0,0
"371","11235",0,0
"372","11235",0,0
"373","11235",0,0
"374","11235",0,0
"375","11235",0,0
"376","11235",0,0
"377","11235",5111.937275,4698.227658
"378","11235",4334.781909,4377.535769
"379","11235",4959.378914,4414.196782
"380","11235",4233.682357,4322.529406
"381","11235",4020.297201,3724.75786
"382","11235",3773.19439,3479.741194
"383","11235",4321.304501,3833.032779
"384","11235",3769.476559,3587.048924
"385","11235",4538.377958,4545.597905
"386","11235",3723.085983,3805.38149
"387","11235",4471.042362,4482.706102
"388","11235",3633.116765,3843.073712
"389","11235",4018.790215,3497.608937
"390","11235",4340.85572,3634.996852
"391","11235",4129.714553,3488.883562
"392","11235",4542.785279,3827.515253
"393","11235",4017.473006,3633.650033
"394","11235",4533.197407,3917.182648
"395","11235",0,0
"396","11235",0,0
"397","11235",0,0
"398","11235",0,0
"399","11235",0,0
"400","11235",0,0
"401","11235",0,0
"402","11235",0,0
"403","11235",0,0
"404","11235",0,0
"405","11235",0,0
"406","11235",0,0
"407","11235",0,0
"408","11235",0,0
"409","11235",0,0
"410","11235",0,0
"411","11235",0,0
"412","11235",0,0
"413","11235",0,0
"414","11235",0,0
"415","11235",0,0
"416","11235",0,0
"417","11235",0,0
"418","11235",0,0
"419","11235",0,0
"420","11235",0,0
"421","11235",0,0
"422","11235",0,0
"423","11235",0,0
"424","11235",0,0
"425","11235",0,0
"426","11235",0,0
"427","11235",0,0
"428","11235",0,0
"429","11235",0,0
"430","11235",0,0
"431","11235",0,0
"432","11235",0,0
"433","11235",0,0
"434","11235",0,0
"435","11235",0,0
"436","11235",0,0
"437","11235",0,0
"438","11235",0,0
"439","11235",0,0
"440","11235",0,0
"441","11235",0,0
"442","11235",0,0
"443","11235",0,0
"444","11235",0,0
"445","11235",0,0
"446","11235",0,0
"447","11235",0,0
"448","11235",0,0
"449","11235",0,0
"450","11235",0,0
"451","11235",0,0
"452","11235",0,0
"453","11235",0,0
"454","11235",0,0
"455","11235",0,0
"456","11235",0,0
"457","11235",0,0
"458","11235",0,0
"459","11235",0,0
"460","11235",0,0
"461","11235",0,0
"462","11235",0,0
"463","11235",0,0
"464","11235",0,0
"465","11235",0,0
"466","11235",0,0
"467","11235",0,0
"468","11235",0,0
"469","11235",0,0
"470","11235",0,0
"471","11237",4474.886171,4259.347527
"472","11237",4937.74258,4033.651474
"473","11237",4773.431432,3823.897024
"474","11237",4735.050726,3701.889759
"475","11237",3881.39417,3280.311781
"476","11237",3827.589917,2937.922505
"477","11237",4058.351933,3081.819645
"478","11237",4056.580235,2813.952727
"479","11237",4532.980822,4435.533572
"480","11237",4522.931507,4254.197869
"481","11237",4699.740705,4583.389367
"482","11237",4628.421673,4663.043053
"483","11237",4008.075898,2562.643444
"484","11237",4143.381705,2820.159527
"485","11237",4102.739366,2746.592237
"486","11237",4258.498315,2905.355657
"487","11237",4114.112035,2918.134051
"488","11237",4297.59307,3092.68138
"489","11237",0,0
"490","11237",0,0
"491","11237",0,0
"492","11237",0,0
"493","11237",0,0
"494","11237",0,0
"495","11237",0,0
"496","11237",0,0
"497","11237",0,0
"498","11237",0,0
"499","11237",0,0
"500","11237",0,0
"501","11237",0,0
