Chemical Number																								
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																								
B		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
C		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	NA	NA	NA	NA	NA	NA	
D		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	NA	NA	NA	NA	NA	NA	
E		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	NA	NA	NA	NA	NA	NA	
F		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	NA	NA	NA	NA	NA	NA	
G		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
H		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
I		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
J		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
K		NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	
L		NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	
M		NA	NA	NA	NA	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	
N		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
O		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
P																								
Chemical Concentration																								
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																								
B		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
C		0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	0	0	0	0	0	0	
D		0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	0	0	0	0	0	0	
E		0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	0	0	0	0	0	0	
F		0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	0	0	0	0	0	0	
G		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
H		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
I		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
J		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
K		0	0	0	0	0	0	0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	
L		0	0	0	0	0	0	0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	
M		0	0	0	0	0	0	0.001	0.001	0.001	0.01	0.01	0.01	0.1	0.1	0.1	1	1	1	10	10	10	50	
N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
