,Chemical.name,Model,xfree,PredFoldChange,PredFracChange
885,Cabazitaxel,in vivo Linear,0.001,1,0
886,Cabazitaxel,in vivo Linear,0.001122018,1,0
887,Cabazitaxel,in vivo Linear,0.001258925,1,0
888,Cabazitaxel,in vivo Linear,0.001412538,1,0
889,Cabazitaxel,in vivo Linear,0.001584893,1,0
890,Cabazitaxel,in vivo Linear,0.001778279,1,0
891,Cabazitaxel,in vivo Linear,0.001995262,1,0
892,Cabazitaxel,in vivo Linear,0.002238721,1,0
893,Cabazitaxel,in vivo Linear,0.002511886,1,0
894,Cabazitaxel,in vivo Linear,0.002818383,1,0
895,Cabazitaxel,in vivo Linear,0.003162278,1,0
896,Cabazitaxel,in vivo Linear,0.003548134,1,0
897,Cabazitaxel,in vivo Linear,0.003981072,1,0
898,Cabazitaxel,in vivo Linear,0.004466836,1,0
899,Cabazitaxel,in vivo Linear,0.005011872,1,0
900,Cabazitaxel,in vivo Linear,0.005623413,1,0
901,Cabazitaxel,in vivo Linear,0.006309573,1,0
902,Cabazitaxel,in vivo Linear,0.007079458,1,0
903,Cabazitaxel,in vivo Linear,0.007943282,1,0
904,Cabazitaxel,in vivo Linear,0.008912509,1,0
905,Cabazitaxel,in vivo Linear,0.01,1,0
906,Cabazitaxel,in vivo Linear,0.011220185,1,0
907,Cabazitaxel,in vivo Linear,0.012589254,1,0
908,Cabazitaxel,in vivo Linear,0.014125375,1,0
909,Cabazitaxel,in vivo Linear,0.015848932,1,0
910,Cabazitaxel,in vivo Linear,0.017782794,1,0
911,Cabazitaxel,in vivo Linear,0.019952623,1,0
912,Cabazitaxel,in vivo Linear,0.022387211,1,0
913,Cabazitaxel,in vivo Linear,0.025118864,1,0
914,Cabazitaxel,in vivo Linear,0.028183829,1,0
915,Cabazitaxel,in vivo Linear,0.031622777,1,0
916,Cabazitaxel,in vivo Linear,0.035481339,1,0
917,Cabazitaxel,in vivo Linear,0.039810717,1,0
918,Cabazitaxel,in vivo Linear,0.044668359,1,0
919,Cabazitaxel,in vivo Linear,0.050118723,1,0
